"Диалог","Допродажи","Успех допродажи"
" Здравствуйте!
 Можно капучино на два?
 На два?
 У нас на два капучино писташко. Классический капучино
 Это 150 и 300
 Давайте 150
 В беду ставлю, никто не вышел.
 Я думаю, ничего себе.
 Я в этот момент стою, это типа шаманин обеда, что ли?
 Еще бы выставить, по WhatsApp.
 Мне кто-то с утра все вот раз звонил по WhatsApp,
 и он такая, я принципиально, блядь, не отвечу.
 С 7 утра это вообще жесть.
 Это в целом история про WhatsApp.
 Да.
 Ну я сейчас скажу ему, что по WhatsApp не звонят.
 Он экономит 30 рублей.
 Да?
 Он экономит 3 рубля за звонок.
 Я им просто скажу, что на WhatsApp у вас сейчас нет машины.
 И молочник.
 Походу да. Украины какие-то.
","",""
" Здравствуйте, какой у тебя время сэндвич с курицей и маленький капучино?
 С корицей, если есть.
 У нас нет корицей, к сожалению.
 А, ну ладно.
 Капучино и классическое молоко?
 Да.
 Сэндвич с курицей погреть для вас?
 Да.
 650 рублей.
 Чек потребуется?
 Нет.
 Сандвич погреть?
 Да
 Продолжение следует...
 
","",""
" Здравствуйте.
 Здравствуйте.
 Можно молочный коктейль возьмем?
 Сейчас, к сожалению, нет молочных коктейлей, все на стопе.
 А все остальное есть?
 Могу вам, если хотели молочный коктейль, предложить холодный рафаэльный.
 А лата есть?
 Лата есть, конечно, все остальное есть.
 А сиропы?
 У нас нет сиропов.
 Могу вам предложить латте черника лакрица.
 Да, латте черника лакрица.
 Он у нас на основе авторских заготовок, натуральных, бесконсервантов.
 Поэтому да, мы используем сироп.
 Давайте.
 Вам горячий, холодный?
 Горячий.
 Молоко классическое было?
 Да
 Что-нибудь перекусить? Десерта?
 Нет, спасибо
 300 рублей, чек потребуется?
 Нет
 Редактор субтитров Е.Воинова Корректор А.Егорова
 А, в салфетке?
 В салфетке, когда кто-то стоит
 Я все еще делаю бойкоты, когда блю
 Почему ты делаешь бойкоты?
 Когда прием
 Аааа
 Пожалуйста, моя сладкая черненькая кула-крица
 Спасибо
 Хорошего дня вам
 А я слышала, что ты стучишься, я не одну фигню.
 Тебе не стучалось? Я открыла дверь, поняла, что она далеко, и она закрылась, и я тут потом...
 Я думала, типа, сейчас я лак это делаю, и у меня теперь эйджинг нужно делать ещё.
 Ну, я да, я этим делаю.
 Я тоже, раскручки продаю.
 Вчера приходила на оплату, я его присылаю, он говорит, где счет?
 Я сделала метро заказ, а он три бутылки говорит, аренда.
 Ну да, я знаю, где счет?
","",""
" Короче, он такой, привет, как дела?
 Я такая, на ватсап позвонила.
 Он такой, тиму, я такая, на ватсап, не звони.
 Да, я таки симахати заказываю, сейчас у меня есть телеканал, я могу заказать.
 Я сейчас заказываю ватсап.
 Мальчик.
 Мне весь день заставлю.
 Субтитры добавил DimaTorzok
 Смотри, тут вообще ничего не понятно, ужас
 Блять, короче, я специально выложила документы, чтобы отдать Диме, где мы подписали соглашение
 Сверху выложила, ты сколько забыла?
 18
 Да не, просто знаешь, от этого, от макулатуры избавиться
 Да
 Так, накладные все подписаны
 Спасибо, а у нас где это?
 А?
 Выложили час, короче, я не запуталась, так и че?
 И сразу смотрю, на сегодня больше ничего?
 А, нет
 короче тут есть десерт
 я тебе не хочу сказать, что он издевается
 изники, это просто он так и получился
 это ореховый шоколадный мусс и ореховый патиссерий
 я попробую
 я не знаю как оно на второй день, но это было вкусно
 ну если не так, то я бы с этим чуски ела
 ну пробуй короче, я знаю
 вот, и короче я вчера целый день не подъела, делала
 она прям белая, без рисунка
 я за ножом беру курицу, мачеху, гриб
 оставляю девушке полтостный чай, потому что я добрая
","+","+"
" Здравствуйте!
 Здравствуйте!
 А какие кофе у вас есть?
 Вон, богатый выбор. Для вас черный с молоком, послаще.
 А давайте мне капучино одно.
 Вам объем 150-300 мл?
 Давайте 300.
 А молоко для вас классическое?
 Молоко классическое или растительное?
 Не, не классическое.
 И еще вот эту трубочку.
 Трубочка со сгущенкой.
 У меня не будет сдачи с 5000, к сожалению.
 У меня же карточку, документы в машине забыл.
 К сожалению, не будет.
 Извините.
 Здравствуйте!
 Я попросила, пожалуйста, рамок на вам.
 Холодный, горячий?
 Холодный, пожалуйста.
 Лето себе будем продлевать.
 Да, как можем, держимся.
","+",""
" Можно что-нибудь припустить?
 Хорошо.
 360 рублей.
 Чек не нужен?
 Нет, спасибо.
 Что у вас хорошего?
 Хорошего? Устраиваюсь на третью работу.
 Семинар хорошо.
 Чем вы занимаетесь, если не секрет?
 Я репетитор, но как бы все связано с детьми, с обучением детишек разных.
 То есть это разные языки, английский, итальянский.
 Поэтому как бы по разной линии работы.
 Ну дай бог, потому что хочется, конечно.
 На всякий случай, знаете, много где базироваться, что...
 Хорошего дня вам!
 И вам хорошего дня!
 Это номер номер.
 Блин, просто мне сейчас в квартире звонят.
 Так.
 Так, это какое?
 Это нормальное, которое у нас было.
 В первую очередь, да.
 Оно одно осталось, да?
 Нет, второе оно на полке.
 Внизу.
 А, ну что, я помечу.
","+",""
" Наверное, мне
 Почту
 Наверное, да
 Я вас ждала
","+",""
" Здравствуйте.
 Здравствуйте.
 Фильтр.
 Фильтр есть.
 Ждем.
 Видите, она в него сцепилась, не по мне отдавала.
 Не по мне отдавала, красотка.
 А мне ванильный растворить.
 Горячий, холодный?
 Горячий.
 И горячий.
 Как мочила моя пирша.
 Овсяные печеньки свежие-свежие
 Хорошо
 Трубочка вкусная прислали
 Лето закончилось-закончилось
 Можно есть-есть
 Я захочу
 Тебе надо что-нибудь печеночное?
 Вы мне сможете сразу два стаканчика сделать?
 А то они иногда подтекают
 Ладно
 Майк я посмотрела, сейчас видео рассмотрю
 Пожалуйста фильтр
 Я кстати не видела этого
 ДСК этого нет
 Ну, так что
 Ни у нас, ни у них
 Только по винограду
 Сейчас я гляну
 Субтитры добавил DimaTorzok
","+",""
" Готовьте для нового напитка, можно сказать, четверка.
 Поняла.
 В это, просто...
 Перед весенним меню было пломба, чили-никола-криса и лимонное печенье.
 Ааа.
 Вот, поэтому я думала, что это опять пломба такая.
 Это пломбанный питер, латте, сливочный коломанси.
 Коломанси?
 50 грамм соуса коломанси.
 Короче...
 Что входит в соус коломанси?
 Антон, можешь показать, пожалуйста?
 Там не написано...
 Короче, это латте, лимонное печенье по факту.
 ДК тоже самое, но с чайниками.
 Я бы тебе еще предлагала, но с чайниками.
 Хорошо, я тебе отправлю.
 Здравствуйте.
 Здравствуйте. Можно без кофе вообще купить?
 У нас нет ДК.
 Я могу вам предложить тизаны, чай, матилата, но кофе ДК нет.
 Короче, приготовление точно такое же, как латте-лимонное печенье. Можно не заебываться с этим.
 Запомните, что соус коломансий и посыпка вишня асмантус.
 Новая посыпка опять?
 Асмантус. Это цветок.
 А, коломанчи это вот.
 Можешь сделать скрин и отправить в группу нашу?
 И этого, и коломанчи с цветком.
 У Кати, которая на груди, да?
 Они расстались, да?
 Да, но всё, так и что он подал?
 Он подал на службу контракту с Юлей
 И все её друзья теперь винят в Кате, потому что она ушла и он был в курсе
 Хотя, может, я ушла, потому что он был в курсе
 Блин, я даже чек-самоконку дома гнал в 27
 Вот это у Насти, которая за склон.
 Её вообще смотрят в квартиру?
 Нет, смотрят в квартиру с ними.
 Понимаете?
 А, там типа 7 катяниц на неделе.
 То она смотрит в квартиру съезд, то она квартиру по теку с ним смотрит.
 Это бесит ужасно.
 Сколько ей лет?
 Не моя разница, вот что ты будешь сказать.
 Она как бы идёт на шестнадцать лет.
 Нет, у неё есть чувство, почему-то к этому.
 Почему не понятно?
 Брат, тут столько мальчиков просто
 Ты бы еще скусу вас заказал
 Смотри, у нас просто угол мальчик
 У нас тут мальчик, там, знаешь, что?
 Сызра, в следующий раз, там, да, ей даже не хватит много, а то она...
 Сказала бы, я бы сейчас...
","+",""
" Почему я спрашиваю, у тебя есть имя? Или мне заказать можно было?
 Да, очень. Очень клёво.
 Горячий, холодный.
 Горячий.
 Что-нибудь к нему? Десерты?
 Попустите.
 350.
 Чек потребуется?
 Нет
 Слушай, как будто это хочется обычной водой разбавить.
 Как будто это тоник слишком обессилен.
 На тоник, да?
 Может, вот здесь вот, да?
 Сфотографируй.
 Да, мне кажется, проблема не в количестве мачо, а в том, что...
 Вот, я Кате кидаю сприншоп, люблю посыпать, да.
 Редактор субтитров Е.Воинова Корректор А.Егорова
 Здравствуйте!
","+",""
" Здравствуйте!
 Здравствуйте!
 Что делать?
 Может чай попить?
 Какой еще раз чай?
 Чай!
 Какой вам?
 У нас есть селективные листовые чаи, тизаны, травы и все, что перечислено, можно на выбор сварить.
 Объем 0,3, стаканчик с тобой.
 Что это?
 Медведь
 Лист вишни нужно подождать 5 минут
 Чтобы он заварился
 Покажите вас, блин? Чек распечатать?
 Смотри
 Я тебя не замечала.
 По идее, да.
 Если бы ты не сдатель,
 то я поменяла бы вот сюда, вот сюда.
 И вот эти бы брала.
 И здесь бы держала двое.
 Двое, да, двое.
 Тогда оставила бы один, а ты не согласна.
 Всё, было бы очень плохо.
 Я не знаю, где последний.
 Паште, чтобы был последний.
 Потому что Аня пробовала.
 Да, короче, какой-то последний.
 По-моему, у нас русские стаканчики.
 Я их не нашла, когда я уже нормально пристегнула.
 Совсем жалко.
 А, закончились?
 По-моему, да, у русских закончились.
 Сука, меня опередил Фрэнк.
 Себе отбезядку?
 Нет, сейчас всем будет.
 Просто я хотела сообщение тебе выпустить.
 Я рада.
 А, у них Фрэнк.
 Сергей, ты хочешь просто сидеть?
 На полу.
 На холодную полу.
 Молодец, да, молодец.
 Приказываю.
 Вот, я еще начала рассказывать, начала про Катину другу рассказать.
 Катина друга? Ты про Пашу, который...
 Нет, не про Катину друга, про танца с сестра вообще бедная.
 Бодр.
 Я уехала в первый раз в Сибирь с Мишей.
 Выхлопала Катя домой.
 Мы сидели в лимбо-парке до 8 утра.
 Я хотела поговорить с другом.
 А вот есть альтернатива заваренная уже?
 Заваренный фильтр?
 Да.
 Есть.
 А сколько стоит?
 Есть у нас фильтр?
 Да.
 А 250.
 Самый маленький фильтр?
 У нас один объем.
 220 мл.
 А что там?
 Там перушка.
 Перу?
 Да.
 Числа?
 Да.
","",""
" Весь день он будет стоять в маленьком пакетике, который можно открыть.
 Спасибо за субтитры Алексею Дубровскому!
","+",""
" А можно какую-нибудь...
 Да, конечно.
 ...для переноски этого дела?
 Пакетика у вас никакого нет?
 Есть.
 Можно приобрести его или что-то с ним придумать?
 А давай сейчас сделаем.
 Здравствуйте.
 Здравствуйте.
","+",""
" Здравствуйте!
","",""
" Можешь коробку взять?
 Больше не высыпай
 Там тут глиняна, коробка лежит, ты видела?
 Такая одна, из-за холодильника
 Пашки-картошки
 Да, этот вот высох
 Наверное, на тебя кейки поделись
 пожалуйста ваш цитрусовый раф
 приятного аппетита
 Спасибо за субтитры Алексею Дубровскому!
 Так, я пойду вылезать, а?
","+",""
" В прошлом году была мобилизация, но сегодня мобилизация до конца месяца.
 Вот очень аутентично.
 Красиво.
 Очень удобно.
 Нужно сейчас посмотреть за оксанкой, чтобы правила еще посмотрела.
 Если меньше, то это будет очень сильно.
 Если пойдет вот такой вот движ, как последние две, вообще шикарно.
 Но высотосреды, в общем, все топ.
 Если будет все так же.
 Это наши первые два дня.
 Даже работать как-то так, мне прежде работать, когда я уже вышла,
 я уже поняла, что делать, кто за мной все.
 Меня очень замораживает работать на этой площади.
 Ухляк
 Смотри, три часа так и началось.
 Вот, ещё всё впереди, мы уже в путешествии.
 У меня какой-то... Да, в среду у меня было за час восемь тысяч.
 Какой красиво.
 Да, это я обалдела с этим днём, этим моментом. Феноменально.
 У нас там спустя просто тринадцать, шестнадцать, пятнадцать человек было.
 И такая...
 Да, всё эти...
 Пиши, пиши.
 Что, твой питьё там?
 Нет, я говорю, ты больше иди, пей, я говорю, нет, мне писать не надо.
 И пиши.
 Ты не выйдешь, а обсовываешься.
","+",""
" Здравствуйте.
 Здравствуйте. Как можно плучина 0,3?
 0,3 на кроссан.
 Угу.
 Так, что-нибудь еще?
 Нет.
 Кроссанчик. Хорошо. 420. Чек распечатать?
 Нет, не надо.
 Так, сейчас, минуточку.
","+",""
" Конечно, иногда можно 15 штук заказать,
 просто складировать.
 Но в любом случае,
 почти ничего.
 Уже, знаешь, что вопрос?
 Давай.
 Я холодно стаканчику.
 Нормально, если что, там молочные коктейли никто не отменял.
 Потому что у нас их все-таки на конекте собираются.
 Я заказала 5 литров шоколада.
 Слези мне!
 Блин, я, короче, заказала так много литров, потому что там нормальная доставка от метра.
 Типа минимальный заказ он почти 4 тысячи.
 А у него за 5 тысячи уже началась очередная два.
 А, и нельзя же, да?
 Да, и нельзя же.
 И я хотела заказать вот эту бренду с апельсинами, а там уходило только на 2 тысячи.
 Я такая, а я чуть не месяца так, типа что заказать, что заказать, что заказать.
 Потом у Лёхи спрашиваю, где же антипарк?
 Он мне говорит, нет.
 Я такая, о, классно, все равно, супер, не хватает.
 Там буквально 100 рублей, 100 рублей блин.
","+","+"
" Здравствуйте!
 Здравствуйте!
 Капучино есть у Вас?
 Конечно! Для Вас 150-300 мл
 150?
 Круасанчики
 Сытные и сладкие
 Там еще на витрине еда различная и десерты
 Капучино на классическом молоке или альтернативном?
 А есть миндальное?
 Да!
 Давай!
 Капучино 150 мл в номинальном молоке и овсяное печенье 490 рублей.
 Чек потребуется? Нет.
 Приятного аппетита!
 Можете припарковать
 Зарплата пришла.
 О, серьезно? Класс!
 Все, я как-то не против.
 Так, это не юкси.
 Это яблочко.
 Ой, яблочко и кипривая вроде.
 Это какая ветка?
 Серая, что ли?
 Я не понимаю, что это за цвет. Серый, ну, оранжевый.
 А, это бутыла. Бутыла, вот, точно. Бутыла, да, вот.
 Бутыла-это дорого.
 Для бутылы 50 тысяч.
 Блин, ну она слишком шикарная
 Ударилась?
 Вот тут
 Поцарапалась
 Я стреляю
 По-моему не к нам
 Я помню эту девочку
","+",""
" Здравствуйте!
 Здравствуйте!
 Что вы хотите?
 Кофе?
","+",""
" Капучино?
 Один капучино, один фильтр.
 А капучино 150, 300 мл?
 На классическом молоке?
 На опсяном.
 На опсяном.
 Так, где он у меня тут?
 В красанчике.
 Фильтр кислый.
 Фильтр значит на пирожке, она как раз такая кислотная.
 А, и че?
 А радику 100%?
 620 рублей.
 Не, ну она везде 100%.
 Я просил.
 6 баксов.
 А, 6 баксов.
 Можете прикладывать.
 
","",""
" Можно пожалуйста лимонад, лайм, таркон?
 Его к сожалению нет, могу предложить кубик шалфей.
","+",""
" Можно вам? Да, конечно.
 Спасибо.
 Спасибо.
 До свидания.
","",""
" Здравствуйте!
 Здравствуйте!
 А можно, пожалуйста, мачо на канапляном и ролл, который с рыбой?
 Угу
 Так, так, так, так
 Ролл с лососем
 И...
 Большую, естественно, мачо
 Угу
 Канапляно
 И скипка
 150
 Спасибо за субтитры Алексею Дубровскому!
","+",""
" Горячий, холодный курасанчик.
 Нет? 350. Чек потребуется.
 До свидания!
 До свидания!
","+",""
" Можно, пожалуйста, какао на обычном молоке?
 Нет, можно и так же на альтернативном.
 Кокосовый, например, очень вкусный, с сахаром.
 Вот, он будет как баунти напоминать.
","+","+"
" Можно, пожалуйста, какао на обычном молоке?
 Нет, можно и так же на альтернативном.
 Кокосовый, например, очень вкусный, с сахаром.
 Вот, он будет как баунти напоминать.
 Вот, а если на банановом, то советую без сахара, чтобы не было брита.
 Давайте на банановом тогда.
 Всё, хорошо.
 Без сахара, да, получается?
 Угу.
 Рекомендую круассан с ветчиной и сыром у нас есть.
 Ну давайте тогда.
 Могу его так же подогреть для вас.
 Буду очень благодарна.
 Хорошо, тогда 660 получается.
 Чек распечатать для вас?
 Нет, спасибо.
 
 Пожалуйста
","+",""
" Здравствуйте!
 Нет.
 Как будто бы мы сейчас машины и ромазаны.
 Что будешь?
 Машины и ромазаны.
 Всё.
 Сейчас.
 Сейчас.
 Я сейчас оформляю...
 Короче, нужно кому-то отнести молоко на другую точку.
 Выправа у меня.
 Ну, потому что я единственное так ещё не делала.
 Да, это... у всех должен быть такой эксперимент.
 Да.
 Но я обновляю шейх, это жопа.
 Выправа я не буду делать.
 Ты пришёл вызвать курьера?
 Да.
 Типа 270 рублей
 Извините, пожалуйста
 Вы знаете, где мусорная инду?
 А вот здесь у нас, за окном
 Спасибо
 Отлично, мне тоже.
 Ну, пока ночи.
 До свидания.
 До свидания.
 Хорошего вечера.
 Скажи, пожалуйста, сегодня 11?
 Да.
 Да.
 Маша.
 Я просто отчетно сейчас заполняла язык, очень счастлива.
 Все, Маши, я вам об этом говорю.
","+",""
" Алло, да.
 А, ну просто мы всё.
 А если только по поводу доставки.
 Я когда на предыдущей своей работе, то как?
 Ага.
 Ага.
 А, ну всё.
 Для коробки паштетов?
 Да.
","",""
" А можно, кстати, здесь кофе взять? Кофе есть?
 Кофе есть, кофе там.
 Можем один вам предложить.
 Ну, берите две кофе.
 Замечательно.
 И фильтр есть у вас?
 Да.
 Давайте фильтр.
","+",""
" О, нифига! Че, можно начистить, прикинь, до меди.
 Среди болтиков.
 Ммм, это все крема.
 Она еще и ломается
 Как целочка
 При этом все у меня очень тошнит
 Главное сохранять лицо
 Надеюсь, я не беременна. Да и прикинь, сам по-моему садиться придется.
 Пиздец.
 Не, у тебя месячные пошли уже.
 Не пошли я.
 Они сейчас должны.
 Я уже в эту ветку, у меня прям жесткое поместное состояние.
 Но последний раз, когда я заходила, они пошли.
 Слушай, мне сестра рассказывала, что
 месячные не всегда показатель, потому что ты не беременна.
 Да, кстати, они могут идти
 еще что-то типа месяца три.
 Но это на самом деле не они,
 а что-то другое,
 на что по коэффициенту очень похоже.
 И необоруженным взглядом
 ты в жизни не поймешь.
 С паратрапом.
 Но говорят, что
 беременная женщина,
 которая хорошо знает свой организм,
 она сразу поймет, что она беременная.
 меняется очень
 у тебя есть беременные подруги?
 родившие есть
 да
 и что они говорят? говоришь что они по этому поводу обсуждали?
 они сразу понимали что они беременные
 то есть они делали тесты по уверенности уже
 вау
 а что именно ощущается?
 жизнь? да, ты просто по другому себя чувствуешь
 не, я имела ввиду жизнь внутри тебя
 ага, без ты
 у меня одна приятельница, у нее сын уже 7 лет
 это бывшая коллега
 с Минкульта
 она была уверена что она отравилась
 а пришла свекровь
 и такая сдавай тест
 такая ты думаешь
 что ты отравилась? я знаю эти симптомы
 на тебе тест
","+",""
" Можно полуфарить?
 Да, конечно
","+",""
" Можно дать еще маке
 Вы еще можете уступить мне выбор
 Если вам показалось это странным
 Не, я так не понимаю
 Пока еще
 Он такой древинистый
 Необычный, да
 Так, для вас мате и улон
 Тигони
 Сдерживаем
 500 рублей
 Скидка на выпечку 20% сейчас
 Нет, спасибо
 Чек потребуется? Нет
 Подписывайтесь на наш канал, ставьте лайки и жмите колокольчик, чтобы не пропустить новые видео.
","",""
" Здравствуйте. Что для вас будет?
 Кокосовое молоко с сахаром.
 Кокосовое молоко? Да.
 Сейчас я вам покажу. Да, покажи.
 Спасибо за просмотр.
","",""
" Привет
 Так, для вас какао без сахара
 На обычном молоке
 На обычном молоке
 У нас скидка на выпечку 20%
 А для вас какао горячее или холодное?
 Горячее
 Уже осень
 Ну, за что ты летом?
 Ну, это правда, да
 Так, и 350 рублей. Чек потребуется?
 Нет
","+",""
" Продолжение следует...
","+",""
"","+",""
" Здравствуйте!
 Скажите, лимонады газированные?
 Да, они идут с газированной водой.
 У нас сейчас из лимонадов остался только американан, он без кофе.
 Можно тогда мать, оладьи маленькие?
 Хорошо, вам на классическом маке или альтернативном?
 На синий.
 Сейчас вам скажу.
 Все, на класс.
 Так, а 02, 03?
","+",""
" Добрый вечер!
 Вы работаете еще?
 Да, да, да.
 Можно тогда 3 эспрессо?
 Конечно.
 Давай, 3 двойных.
 Да, да, да, у нас только двойные.
 Это прекрасно.
 Это тоже хорошее место.
 Да, мы любим вас.
 У вас тепло, чисто и уютно.
 Для вас 3 двойных эспрессо.
 Кто хочет больше эспрессо?
 Я буду.
 Я буду двойных.
 Тут только двойные.
 Хорошо.
 Вы замените.
 Вы захотите?
 Давай дабл.
 Эспрессо?
 5 двойных эспрессо.
 Сколько на выпечку 20%?
 Мы только выполняем.
 1250.
 Чек потребуется?
 Нет.
 Хорошо, так, извините.
 Так, 2000.
 Давайте я зашлюсь от пиздачи в ванну.
 Вообще феноменально.
 Я все как раз пока.
","+",""
" Можно еще раз?
 Давайте.
 А, это то.
 Можно в дом залезать?
 Меня?
 Окей.
 Это самый захватывающий момент.
 Я выглядываю на мази.
 Ищите, блядь.
 Выглядываю, два.
 И какая-то хуйня с курицей побежит.
 Все поряд бывают.
 Водоносие.
 Сильное.
 И еще два карты.
 Роу конфета.
 Так, первый пошел.
 Теперь еще и целый советую.
 Я думаю, что да.
 Ребят, первый.
 Тут только кругом, потому что уже...
 Ты держал, я знаю.
 На, держи.
 Не, не, я не посмею, ребят.
 Спасибо.
 Берите, пожалуйста.

 Когда киевская война на втором этаже летела
","+",""
" Извините, а можно чуть-чуть салфеточек у вас?
 Салфеточки на стойке с витринами
 Хорошо
 Я спросил у всех, как у вас салфетки
 Здрасте, а можно, пожалуйста, дабл спецсайл?
 Угу
 У нас скидка
","",""
" Роу конфета.
 Так, первый пошел.
 Теперь еще и целый советую.
 Я думаю, что да.
 Ребят, первый.
 Тут только кругом, потому что уже...
 Ты держал, я знаю.
 На, держи.
 Не, не, я не посмею, ребят.
 Спасибо.
 Берите, пожалуйста.

 Когда киевская война на втором этаже летела
 А не в том, в котором мы встретились?
 Да, да, да
 Да, да, да
 Да, слушай, бро, мне честно показалось, что ты слабенько сыграл
 Не вчера, вчера в модели
 Да, да, да
 Мы в модели
 Мы в модели
 Это было днем назад
 Да, уже как-то было днем назад
 А, вчера же мы в модели
 Поговорим
 Извините, а можно чуть-чуть салфеточек у вас?
 Салфеточки на стойке с витринами
 Хорошо
 Я спросил у всех, как у вас салфетки
 Здрасте, а можно, пожалуйста, дабл спецсайл?
 Угу
 У нас скидка
 100 баксов
 Не, спасибо большое
 Только в кофе, только взбодриться
 250? Чек потребуется?
 Нет, чек не надо
 Угу, вот
 Еще один
 Так, я не знаю, чей это чек
 Это ребята
 Ребят, а здесь дабл спецсайл для кого?
 Там для ребят еще три штуки
 А, ну, я понял
 Я оплачу тебе, безусловно
 Я угощу тебя сегодня
 Так, да, мы же все ждали
 Да, я понял, что
 Так, для вас конфеточки еще, да?
 Я думаю, вы все, однако, большая компания
 Да, ну вот они не позаботились о нас
 Так, 80 рублей
 Угу
 Все уже
 Дабл спец
 Я не буду играть.
 Нет, я, кстати, так не думаю, что у меня будет голос.
 Такой конгресс-вази, а не про...
 Я просто воздуху не понимаю.
 Я просто воздуху не понимаю.
 Я бы сейчас точно подсветил.
 Я бы сейчас заорал.
 Давай сделаем.
 Вот этого.
 Хочешь, это будет твой.
 А что мы сейчас играем? Нюх?
 Нюх или мираж?
 Нюх мы не разыграем.
 Мы как-нибудь мираж выиграть нам, а потом...
 Давай сначала один мираж, а потом...
 Давай, давай.
 Мне кажется, они собираются после этой танки с лего-стенок.
 Вот именно, я говорю,
 давай сначала мираж дадим, а то фейл пасем,
 а то на него...
 А, ты прав, сейчас?
 Ну да, время говерно проводим.
 Ну вот, до шести.
 Потом тебя проводим просто.
 Там пакет с 13 на 0?
 Я максимум, да, полминуты.
 Полминуты, а то еще две игры.
 Полминуты и тридцать, может быть.
 Чувак, полминуты, а то три игры, погнали.
 Ну если будут 2-2, то значит...
 То да, то пошел.
 Мы тебе свежего лука принесем.
 Ладно, мы должны выиграть.
 Да, мы пять тоже принесем.
 Заказ? А ты где заказал?
 Паш, возьми меня тоже.
 Я надеюсь, он мясо-ж мясо заказал.
 Сырой свинины, причем, в пакете, в этом вагоне,
 в 65.
 Пожарится.
","",""
" Для вас что-нибудь?
 Салатчик.
 Запить?
 Да?
 Погреть?
 Ну, чуть-чуть, наверное.
 350.
 Чек нужен?
 Нет.
 Шестое спроси, пожалуйста.
 Выпить и сожрать.
 Хорошо, что он чё-то у меня уже.
 Первый шаг, мент.
 Думаешь?
 А мне тоже бы чуть-чуть что-нибудь сладенькое.
 На выпечку 20%.
 Тогда беру всё сладенькое.
 А это не выпечка.
 А вот этот бутылки это выпечки?
 Хотите мы его выпьем?
 Не, не надо, он весёлый.
 В ответе от тебя, ты даже инсайдер,
 а я не хочу никаких вопросов.
 Аккуратно ешь.
 На самом деле, я думаю, что нужно картошку.
 Отличный бутерброд.
 Приятного аппетита.
 Папа, папа, приятного аппетита.
 У меня буррито называется от Павлова
 Реально?
 Да реально, не шучу
 Серёг, ты сейчас как Серёга пострадал
 Знаешь, как оно называется?
 Буррито от Павлова
 Знаешь, каким никтаймом он играет?
 Павлова
 Слушай, а ты знаешь кто он?
 Павлова
 Знаешь где я?
 Где?
 Я не знаю, я спрашиваю тебя, а ты мне
 Ну ладно, я понял, раз уж мы столько информации тебе сказали, нужно дальше продолжать, да?
","+","+"
" Водичку? Ай, можно стакан воды, пожалуйста?
 Нет, пока нет.
 Видимо, она была в минус 100 градусов.
 Пожалуйста, садитесь.
","",""
"","",""
"","+",""
"","",""
"","",""
"","+",""
"","",""
"","",""
"","+",""
"","",""
"","",""
"","",""
"","",""
"","",""
